"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","ISO","wRC+","WAR","playerid"
"Carlos Correa","110","402","468","96","60","20","1","15","60","65","53","3","111","2","11","0","17","3","0",".239",".323",".405",".728",".167","101","1.7","14162"
"Josh Reddick","134","433","487","105","73","13","2","17","63","47","49","3","77","0","2","1","9","7","2",".242",".318",".400",".718",".157","99","1.1","3892"
"Marwin Gonzalez","145","489","552","121","77","25","3","16","61","68","53","3","126","3","2","5","14","2","3",".247",".324",".409",".733",".162","104","1.6","5497"
"George Springer","140","544","620","144","96","26","0","22","102","71","64","0","122","5","3","0","12","6","4",".265",".346",".434",".780",".169","119","2.9","12856"
"Max Stassi","88","221","250","50","29","13","0","8","28","27","23","0","74","6","0","0","6","0","0",".226",".316",".394",".710",".167","100","2.6","10059"
"Alex Bregman","157","594","705","170","87","51","1","31","105","103","96","2","85","12","3","0","15","10","4",".286",".394",".532",".926",".246","157","7.6","17678"
"Jose Altuve","137","534","599","169","125","29","2","13","84","61","55","4","79","6","1","3","17","17","4",".316",".386",".451",".837",".135","135","4.9","5417"
"Yuli Gurriel","136","537","573","156","109","33","1","13","70","85","23","0","63","6","7","0","22","5","1",".291",".323",".428",".751",".138","107","1.2","19198"
"Tyler White","66","210","237","58","31","12","3","12","27","42","24","0","49","2","1","0","1","0","1",".276",".354",".533",".888",".257","144","1.5","15564"
